Pos,Player,Tm,Year,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Tom Brady,NWE,2016,16,12,12,291,432,3554,28,2,28,64,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm, SN: 1st Tm"
QB,Matt Ryan,ATL,2016,8,16,16,373,534,4944,38,7,35,117,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm"
RB,Ezekiel Elliott,DAL,2016,Rook,15,15,0,0,0,0,0,322,1631,15,32,363,1,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
RB,David Johnson,ARI,2016,1,16,16,0,0,0,0,0,293,1239,16,80,879,4,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
RB,Le'Veon Bell,PIT,2016,3,12,12,0,1,0,0,0,261,1268,7,75,616,2,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
RB,DeMarco Murray,TEN,2016,5,16,16,1,2,10,1,0,293,1287,9,53,377,3,0,0,0,PFW: 1st Tm All-Conf.
RB,Jay Ajayi,MIA,2016,1,15,12,0,0,0,0,0,260,1272,8,27,151,0,0,0,0,PFF: 2nd Tm
FB,Kyle Juszczyk,BAL,2016,3,16,7,0,0,0,0,0,5,22,1,37,266,0,3,0,0,PFF: 1st Tm
FB,James Develin,NWE,2016,5,16,4,0,0,0,0,0,0,0,0,3,18,0,0,0,0,PFF: 2nd Tm
WR,Julio Jones,ATL,2016,5,14,14,0,0,0,0,0,0,0,0,83,1409,6,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
